UTS,YS,EL,EL_Si,EL_Mg,EL_Sc,EL_Al
204.15997,116.8566,6.6365986,6.09,0,0.5350673,93.3749327
204.09048,116.766495,6.6401005,6.1,0,0.53606474,93.36393526
204.02129,116.676605,6.6435776,6.11,0,0.53706205,93.35293795
203.95255,116.58711,6.6470118,6.12,0,0.5380594,93.3419406
203.88356,116.49744,6.6504655,6.13,0,0.53905666,93.33094334
203.81456,116.407745,6.653923,6.14,0,0.54005396,93.31994604
203.7456,116.31807,6.6573825,6.15,0,0.5410513,93.3089487
203.67587,116.22773,6.660903,6.16,0,0.5420488,93.2979512
203.60713,116.13826,6.6643367,6.17,0,0.543046,93.286954
203.53793,116.048386,6.667814,6.18,0,0.5440433,93.2759567
203.4689,115.958664,6.6712723,6.19,0,0.5450406,93.2649594
203.3992,115.86837,6.6747975,6.2,0,0.54603803,93.25396197
203.33072,115.7791,6.678207,6.21,0,0.54703534,93.24296466
203.261,115.68878,6.6817274,6.22,0,0.54803276,93.23196724
203.19229,115.59932,6.6851654,6.23,0,0.54903007,93.22096993
203.12253,115.50897,6.688688,6.24,0,0.5500275,93.2099725
203.05383,115.419525,6.6921206,6.25,0,0.5510248,93.1989752
202.98457,115.32961,6.695599,6.26,0,0.5520222,93.1879778
202.91559,115.23993,6.699056,6.27,0,0.5530194,93.1769806
202.84659,115.15022,6.7025113,6.28,0,0.5540168,93.1659832
202.77765,115.06056,6.7059693,6.29,0,0.555014,93.154986
202.70816,114.97044,6.7094674,6.3,0,0.55601144,93.14398856
202.6394,114.88095,6.712904,6.31,0,0.55700886,93.13299114
202.56995,114.790855,6.716403,6.32,0,0.55800617,93.12199383
202.50095,114.70117,6.7198615,6.33,0,0.5590035,93.1109965
202.43173,114.61127,6.7233367,6.34,0,0.5600009,93.0999991
202.36252,114.52138,6.7268224,6.35,0,0.5609982,93.0890018
202.2933,114.4315,6.730295,6.36,0,0.5619955,93.0780045
202.22453,114.341995,6.7337255,6.37,0,0.5629928,93.0670072
202.1553,114.25212,6.737211,6.38,0,0.56399024,93.05600976
202.08588,114.16201,6.740711,6.39,0,0.56498754,93.04501246
202.01663,114.07211,6.7441945,6.4,0,0.56598485,93.03401515
201.94812,113.982834,6.747602,6.41,0,0.56698215,93.02301785
201.87866,113.89273,6.7511053,6.42,0,0.5679796,93.0120204
201.80939,113.80281,6.7545795,6.43,0,0.5689769,93.0010231
201.74045,113.71315,6.758041,6.44,0,0.5699743,92.9900257
201.67143,113.62346,6.7614946,6.45,0,0.5709715,92.9790285
201.60197,113.53334,6.7649975,6.46,0,0.5719689,92.9680311
201.53346,113.44406,6.768405,6.47,0,0.5729662,92.9570338
201.46426,113.3542,6.771884,6.48,0,0.5739635,92.9460365
201.39453,113.26387,6.7754097,6.49,0,0.5749608,92.9350392
201.32532,113.173965,6.7788887,6.5,0,0.57595825,92.92404175
201.25632,113.084274,6.782348,6.51,0,0.5769557,92.9130443
201.18735,112.9946,6.785798,6.52,0,0.577953,92.902047
